

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
066.642  000.034  000.034: sourcing /usr/share/nvim/runtime/ftplugin.vim
067.402  000.050  000.050: sourcing /usr/share/nvim/runtime/indent.vim
069.301  000.380  000.380: sourcing /usr/share/nvim/runtime/syntax/syncolor.vim
069.720  001.608  001.228: sourcing /usr/share/nvim/runtime/syntax/synload.vim
069.774  002.213  000.606: sourcing /usr/share/nvim/runtime/syntax/syntax.vim
070.067  000.169  000.169: sourcing /usr/share/nvim/runtime/syntax/nosyntax.vim
071.796  000.191  000.191: sourcing /usr/share/nvim/runtime/syntax/syncolor.vim
072.227  001.351  001.160: sourcing /usr/share/nvim/runtime/syntax/synload.vim
072.283  002.433  000.914: sourcing /usr/share/nvim/runtime/syntax/syntax.vim
073.834  000.221  000.221: sourcing /usr/share/nvim/runtime/syntax/syncolor.vim
076.419  000.224  000.224: sourcing /usr/share/nvim/runtime/syntax/syncolor.vim
077.684  000.215  000.215: sourcing /usr/share/nvim/runtime/syntax/syncolor.vim
085.961  011.133  010.695: sourcing /home/arden/.config/nvim/Plugged/vim/colors/isotope.vim
085.976  080.712  034.168: sourcing /home/arden/.config/nvim/init.vim
085.980  000.460: sourcing vimrc file(s)
086.190  000.083  000.083: sourcing /home/arden/.config/nvim/Plugged/apiblueprint.vim/plugin/apiary.vim
086.292  000.084  000.084: sourcing /home/arden/.config/nvim/Plugged/apiblueprint.vim/plugin/apiblueprint.vim
086.538  000.052  000.052: sourcing /home/arden/.config/nvim/Plugged/vim-crystal/plugin/crystal.vim
086.668  000.067  000.067: sourcing /home/arden/.config/nvim/Plugged/dart-vim-plugin/plugin/dart.vim
086.783  000.054  000.054: sourcing /home/arden/.config/nvim/Plugged/elm-vim/plugin/elm.vim
087.211  000.299  000.299: sourcing /home/arden/.config/nvim/Plugged/vim-go/plugin/go.vim
087.871  000.008  000.008: sourcing /home/arden/.config/nvim/Plugged/vim-twig/filetype.vim
087.973  000.007  000.007: sourcing /usr/share/nvim/runtime/filetype.vim
088.568  000.006  000.006: sourcing /usr/share/nvim/runtime/ftplugin.vim
089.117  000.007  000.007: sourcing /home/arden/.config/nvim/Plugged/vim-twig/filetype.vim
089.205  000.007  000.007: sourcing /usr/share/nvim/runtime/filetype.vim
089.856  000.006  000.006: sourcing /usr/share/nvim/runtime/indent.vim
090.995  003.554  003.512: sourcing /home/arden/.config/nvim/Plugged/slimv/plugin/paredit.vim
091.728  000.087  000.087: sourcing /home/arden/.config/nvim/Plugged/python-mode/autoload/pymode.vim
092.228  000.012  000.012: sourcing /home/arden/.config/nvim/Plugged/vim-twig/filetype.vim
092.354  000.008  000.008: sourcing /usr/share/nvim/runtime/filetype.vim
092.939  000.007  000.007: sourcing /usr/share/nvim/runtime/ftplugin.vim
094.045  000.008  000.008: sourcing /home/arden/.config/nvim/Plugged/vim-twig/filetype.vim
094.134  000.007  000.007: sourcing /usr/share/nvim/runtime/filetype.vim
094.691  000.007  000.007: sourcing /usr/share/nvim/runtime/ftplugin.vim
096.011  000.084  000.084: sourcing /usr/share/nvim/runtime/autoload/provider/pythonx.vim
107.691  000.214  000.214: sourcing /usr/share/nvim/runtime/autoload/remote/host.vim
107.802  012.426  012.128: sourcing /usr/share/nvim/runtime/autoload/provider/python.vim
107.866  016.640  004.079: sourcing /home/arden/.config/nvim/Plugged/python-mode/plugin/pymode.vim
108.745  000.378  000.378: sourcing /home/arden/.config/nvim/Plugged/riv.vim/autoload/riv.vim
110.770  000.630  000.630: sourcing /home/arden/.config/nvim/Plugged/riv.vim/autoload/riv/cmd.vim
177.259  000.244  000.244: sourcing /home/arden/.config/nvim/Plugged/riv.vim/autoload/riv/path.vim
178.227  000.415  000.415: sourcing /home/arden/.config/nvim/Plugged/riv.vim/autoload/riv/ptn.vim
179.119  071.124  069.456: sourcing /home/arden/.config/nvim/Plugged/riv.vim/plugin/riv.vim
179.327  000.128  000.128: sourcing /home/arden/.config/nvim/Plugged/rust.vim/plugin/rust.vim
179.484  000.093  000.093: sourcing /home/arden/.config/nvim/Plugged/vim-scala/plugin/scala.vim
179.602  000.018  000.018: sourcing /home/arden/.config/nvim/Plugged/swift.vim/plugin/swift.vim
179.711  000.041  000.041: sourcing /home/arden/.config/nvim/Plugged/vim-terraform/plugin/terraform.vim
179.875  000.057  000.057: sourcing /home/arden/.config/nvim/Plugged/vala.vim/plugin/vala.vim
180.497  000.021  000.021: sourcing /home/arden/.config/nvim/Plugged/vifm.vim/autoload/vifm/globals.vim
181.326  001.385  001.363: sourcing /home/arden/.config/nvim/Plugged/vifm.vim/plugin/vifm.vim
181.675  000.013  000.013: sourcing /usr/share/nvim/runtime/plugin/gui_shim.vim
181.889  000.199  000.199: sourcing /usr/share/nvim/runtime/plugin/gzip.vim
181.923  000.019  000.019: sourcing /usr/share/nvim/runtime/plugin/health.vim
181.984  000.047  000.047: sourcing /usr/share/nvim/runtime/plugin/man.vim
182.444  000.446  000.446: sourcing /usr/share/nvim/runtime/plugin/matchit.vim
182.614  000.152  000.152: sourcing /usr/share/nvim/runtime/plugin/matchparen.vim
183.045  000.415  000.415: sourcing /usr/share/nvim/runtime/plugin/netrwPlugin.vim
183.967  000.141  000.141: sourcing /usr/share/nvim/runtime/autoload/remote/define.vim
184.052  000.831  000.690: sourcing /home/arden/.local/share/nvim/rplugin.vim
184.058  000.990  000.159: sourcing /usr/share/nvim/runtime/plugin/rplugin.vim
184.091  000.013  000.013: sourcing /usr/share/nvim/runtime/plugin/rrhelper.vim
184.199  000.089  000.089: sourcing /usr/share/nvim/runtime/plugin/shada.vim
184.247  000.026  000.026: sourcing /usr/share/nvim/runtime/plugin/spellfile.vim
184.399  000.133  000.133: sourcing /usr/share/nvim/runtime/plugin/tarPlugin.vim
184.498  000.078  000.078: sourcing /usr/share/nvim/runtime/plugin/tohtml.vim
184.555  000.038  000.038: sourcing /usr/share/nvim/runtime/plugin/tutor.vim
184.759  000.185  000.185: sourcing /usr/share/nvim/runtime/plugin/zipPlugin.vim
184.774  002.273: loading plugins
185.001  000.227: loading packages
185.454  000.037  000.037: sourcing /home/arden/.config/nvim/Plugged/tomdoc.vim/after/plugin/tomdoc.vim
185.485  000.447: loading after plugins
185.500  000.014: inits 3
189.464  003.965: reading ShaDa
190.228  000.764: clearing screen
190.818  000.590: opening buffers
191.495  000.360  000.360: sourcing /home/arden/.config/nvim/Plugged/julia-vim/autoload/LaTeXtoUnicode.vim
192.279  000.492  000.492: sourcing /home/arden/.config/nvim/Plugged/julia-vim/autoload/julia_latex_symbols.vim
195.890  004.221: BufEnter autocommands
195.895  000.004: editing files in windows
195.964  000.070: VimEnter autocommands
195.989  000.025: before starting main loop
198.288  002.299: first screen update
198.291  000.003: --- NVIM STARTED ---
